Affordable Housing Clusters,Latitude,Longitude,Count
Housing Clusters 81,41.80389906,-87.6108319,1
Housing Clusters 82,41.89889515,-87.68677643,1
Housing Clusters 83,41.93364805,-87.7661803,1
Housing Clusters 84,41.74018636,-87.63781991,1
Housing Clusters 85,41.80226057,-87.58900435,1
Housing Clusters 86,41.82886653,-87.62671066,2
Housing Clusters 87,41.95553133,-87.70820786,1
Housing Clusters 88,41.74822238,-87.6438257,1
Housing Clusters 89,41.91725621,-87.70031066,2
Housing Clusters 90,41.81028546,-87.67002227,1
Housing Clusters 91,41.95414467,-87.68697505,1
Housing Clusters 92,41.81666257,-87.62226472,1
Housing Clusters 93,41.78058265,-87.60578837,1
Housing Clusters 94,41.98593151,-87.72836921,2
Housing Clusters 95,41.91586948,-87.68763427,1
Housing Clusters 96,41.93666739,-87.72009772,1
Housing Clusters 97,41.70556659,-87.60107403,1
Housing Clusters 98,41.8855647,-87.64685508,1
Housing Clusters 99,41.7943937,-87.64724467,6
Housing Clusters 100,41.85533972,-87.72471008,1
Housing Clusters 101,41.80971394,-87.60375337,1
Housing Clusters 102,41.87812559,-87.67915413,1
Housing Clusters 103,41.70700943,-87.64478166,1
Housing Clusters 104,41.80982565,-87.62299938,1
Housing Clusters 105,41.87376512,-87.7549712,1
Housing Clusters 106,41.79854996,-87.61745669,1
Housing Clusters 107,41.77916282,-87.6770312,3
Housing Clusters 108,41.95344562,-87.78643375,1
Housing Clusters 109,41.78499449,-87.64506314,1
Housing Clusters 110,41.85486383,-87.6510922,1
Housing Clusters 111,41.905731,-87.64964597,1
Housing Clusters 112,41.88369802,-87.7089025,1
Housing Clusters 113,41.75064862,-87.65092232,1
Housing Clusters 114,41.76751603,-87.62717205,1
Housing Clusters 115,41.92282434,-87.69674313,2
Housing Clusters 116,41.9247621,-87.69066098,1
Housing Clusters 117,41.85779292,-87.62546237,1
Housing Clusters 118,41.77953039,-87.66652651,2
Housing Clusters 119,41.92716483,-87.80621904,1
Housing Clusters 120,41.88457966,-87.63375683,1
Housing Clusters 121,41.88196929,-87.72399261,1
Housing Clusters 122,41.99084916,-87.67599309,1
Housing Clusters 123,41.86709035,-87.65767338,1
Housing Clusters 124,41.82634394,-87.60811611,2
Housing Clusters 125,41.86643977,-87.71218086,1
Housing Clusters 126,41.9025858,-87.71076053,1
Housing Clusters 127,41.86604003,-87.72672414,1
Housing Clusters 128,41.89131063,-87.64632446,1
Housing Clusters 129,41.74195912,-87.5598599,2
Housing Clusters 130,41.89479143,-87.75927048,1
Housing Clusters 131,41.6815901,-87.62262763,1
Housing Clusters 132,41.76738208,-87.58140538,1
Housing Clusters 133,41.95286969,-87.64934018,2
Housing Clusters 134,41.90048723,-87.70160663,1
Housing Clusters 135,41.68976374,-87.62239508,3
Housing Clusters 136,41.80952057,-87.61482402,1
Housing Clusters 137,41.782231,-87.59801573,1
Housing Clusters 138,41.95769221,-87.79754403,1
Housing Clusters 139,41.75815411,-87.68810611,1
Housing Clusters 140,41.99186565,-87.70954508,1
Housing Clusters 141,41.97328192,-87.65492818,3
Housing Clusters 142,41.81660195,-87.61055648,2
Housing Clusters 143,41.80531018,-87.68362994,1
Housing Clusters 144,41.87119717,-87.71084842,1
Housing Clusters 145,41.74575696,-87.60031991,1
Housing Clusters 146,41.73164453,-87.65793186,1
Housing Clusters 147,41.89207328,-87.70756682,1
Housing Clusters 148,41.85923592,-87.7202403,1
Housing Clusters 149,41.99802217,-87.69463113,1
Housing Clusters 150,41.8828067,-87.67926811,1
Housing Clusters 151,41.77256377,-87.63241932,1
Housing Clusters 152,41.90989706,-87.71560033,1
Housing Clusters 153,41.80241312,-87.63305258,1
Housing Clusters 154,41.77728699,-87.58649335,1
Housing Clusters 155,41.92079101,-87.77747755,1
Housing Clusters 156,41.89339126,-87.7071327,1
Housing Clusters 157,41.77739333,-87.6482214,1
Housing Clusters 158,41.79696316,-87.59673531,1
Housing Clusters 159,41.87638462,-87.71361194,1
Housing Clusters 160,41.80820589,-87.70586474,1
Housing Clusters 161,41.83717695,-87.62203977,2
Housing Clusters 162,41.95407205,-87.67682369,1
Housing Clusters 163,41.8551334,-87.7030674,1
Housing Clusters 164,41.82565461,-87.61734792,2
Housing Clusters 165,41.8239192,-87.61246844,1
Housing Clusters 166,41.87007313,-87.71582809,1
Housing Clusters 167,41.82007455,-87.6204233,1
Housing Clusters 168,41.90959014,-87.63324548,1
Housing Clusters 169,41.92130822,-87.79209096,1
Housing Clusters 170,41.96652845,-87.65171856,3
Housing Clusters 171,41.7546866,-87.55496472,1
Housing Clusters 172,41.78989794,-87.62219761,2
Housing Clusters 173,41.91749465,-87.70826581,4
Housing Clusters 174,41.86341092,-87.71929168,1
Housing Clusters 175,41.89607519,-87.67373584,1
Housing Clusters 176,41.80304097,-87.6076717,1
Housing Clusters 177,41.97370056,-87.65789194,3
Housing Clusters 178,41.8905194,-87.76324864,1
Housing Clusters 179,41.91552353,-87.72061073,1
Housing Clusters 180,41.90281875,-87.69652556,2
Housing Clusters 181,41.85603287,-87.66936057,1
Housing Clusters 182,41.82768559,-87.62679268,2
Housing Clusters 183,41.91332565,-87.71031714,1
Housing Clusters 184,41.81674964,-87.61664895,1
Housing Clusters 185,41.78176092,-87.62140345,1
Housing Clusters 186,41.96135865,-87.69854417,1
Housing Clusters 187,41.85590751,-87.67943292,1
Housing Clusters 188,41.7952753,-87.62233438,1
Housing Clusters 189,41.77814486,-87.70387541,1
Housing Clusters 190,41.86736961,-87.70066623,1
Housing Clusters 191,41.78090936,-87.63761782,1
Housing Clusters 192,41.94740174,-87.64963658,2
Housing Clusters 193,41.87698195,-87.69022214,1
Housing Clusters 194,41.92090376,-87.6938545,1
Housing Clusters 195,41.67950676,-87.6430113,1
Housing Clusters 196,41.78280346,-87.59326131,1
Housing Clusters 197,41.88102998,-87.72090851,2
Housing Clusters 198,41.90219524,-87.63592092,1
Housing Clusters 199,41.79857178,-87.58921454,1
Housing Clusters 200,41.96549759,-87.68895433,2
Housing Clusters 201,41.81308729,-87.62552196,1
Housing Clusters 202,41.80375452,-87.62121706,1
Housing Clusters 203,41.91035411,-87.69436483,1
Housing Clusters 204,41.904342,-87.66779176,1
Housing Clusters 205,41.95758244,-87.65636944,1
Housing Clusters 206,41.93346293,-87.74679225,4
Housing Clusters 207,41.813971,-87.62119166,1
Housing Clusters 208,41.84247656,-87.71366715,1
Housing Clusters 209,41.90341508,-87.66997144,2
Housing Clusters 210,41.93350027,-87.80644193,1
Housing Clusters 211,41.81922851,-87.61645178,4
Housing Clusters 212,41.78355891,-87.6410929,1
Housing Clusters 213,41.90052524,-87.64295528,1
Housing Clusters 214,41.91280865,-87.70180006,1
Housing Clusters 215,41.80836402,-87.66603344,1
Housing Clusters 216,41.86474832,-87.69458968,2
Housing Clusters 217,41.90359822,-87.64370374,1
Housing Clusters 218,41.69899564,-87.62954345,1
Housing Clusters 219,41.76735295,-87.57647796,1
Housing Clusters 220,41.78570095,-87.6217485,1
Housing Clusters 221,41.85468771,-87.66210281,1
Housing Clusters 222,41.96496583,-87.65299225,1
Housing Clusters 223,41.77690925,-87.60395378,1
Housing Clusters 224,41.89535898,-87.71557516,1
Housing Clusters 225,41.82720157,-87.62753515,1
Housing Clusters 226,41.85170274,-87.72132688,2
Housing Clusters 227,41.77855219,-87.60493357,1
Housing Clusters 228,41.8639941,-87.65575239,1
Housing Clusters 229,41.9837729,-87.65770384,1
Housing Clusters 230,41.8902016,-87.70456131,1
Housing Clusters 231,41.83078218,-87.62679018,1
Housing Clusters 232,41.79959787,-87.59376104,1
Housing Clusters 233,41.8784239,-87.68736835,1
Housing Clusters 234,41.905458,-87.69216188,1
Housing Clusters 235,41.77748903,-87.59314971,2
Housing Clusters 236,41.77466762,-87.6315302,1
Housing Clusters 237,41.88355426,-87.67195337,1
Housing Clusters 238,41.96186585,-87.65610743,2
Housing Clusters 239,41.80769903,-87.62455959,1
Housing Clusters 240,41.90978701,-87.72558192,1
Housing Clusters 241,41.90287808,-87.68963252,1
Housing Clusters 242,41.91421838,-87.71358429,1
Housing Clusters 243,41.8155504,-87.62285652,1
Housing Clusters 244,41.85301339,-87.62823221,1
Housing Clusters 245,41.91744385,-87.68988362,2
Housing Clusters 246,41.82091083,-87.62652565,1
Housing Clusters 247,41.8916106,-87.7108641,1
Housing Clusters 248,41.70348407,-87.62065792,1
Housing Clusters 249,41.79162782,-87.64523321,1
Housing Clusters 250,41.8457959,-87.62040337,1
Housing Clusters 251,41.81957647,-87.60848349,1
Housing Clusters 252,41.81893574,-87.5987843,1
Housing Clusters 253,41.85453503,-87.62726774,1
Housing Clusters 254,41.85876878,-87.66938208,1
Housing Clusters 255,41.96265369,-87.65819285,1
Housing Clusters 256,41.95439818,-87.65321906,1
Housing Clusters 257,41.88041381,-87.71084273,1
Housing Clusters 258,41.91065794,-87.69333292,3
Housing Clusters 259,41.96799271,-87.66263241,1
Housing Clusters 260,42.00757377,-87.66517114,1
Housing Clusters 261,41.86680605,-87.66169184,1
Housing Clusters 262,41.88380799,-87.68281702,1
Housing Clusters 263,41.84975688,-87.71320473,1
Housing Clusters 264,41.75059341,-87.65472675,1
Housing Clusters 265,41.82420114,-87.62627123,1
Housing Clusters 266,41.92627863,-87.70220924,1
Housing Clusters 267,41.89190751,-87.71596466,1
Housing Clusters 268,41.9856411,-87.65538854,1
Housing Clusters 269,41.86391707,-87.69441808,1
Housing Clusters 270,41.89052242,-87.70502546,5
Housing Clusters 271,41.80435535,-87.60902296,1
Housing Clusters 272,41.81406086,-87.62311222,1
Housing Clusters 273,41.80941355,-87.60708556,1
Housing Clusters 274,41.86308761,-87.70428319,1
Housing Clusters 275,41.9689735,-87.67403032,1
Housing Clusters 276,41.97449607,-87.65651102,1
Housing Clusters 277,41.80944088,-87.60503342,1
Housing Clusters 278,41.79297452,-87.62256852,3
Housing Clusters 279,41.8197628,-87.60017544,1
Housing Clusters 280,41.86593902,-87.69349671,1
Housing Clusters 281,41.96263002,-87.65043043,1
Housing Clusters 282,41.92365685,-87.69753123,1
Housing Clusters 283,41.88346519,-87.71003991,1
Housing Clusters 284,41.88999235,-87.70368677,1
Housing Clusters 285,41.90543825,-87.64798274,1
Housing Clusters 286,41.8657229,-87.69252275,1
Housing Clusters 287,41.783951,-87.60584338,1
Housing Clusters 288,41.89143879,-87.71385762,1
Housing Clusters 289,41.89180016,-87.71488094,1
Housing Clusters 290,41.9032305,-87.66797825,1
Housing Clusters 291,41.94064621,-87.65140951,1
Housing Clusters 292,41.77610371,-87.60232857,1
Housing Clusters 293,41.89237005,-87.70904868,2
Housing Clusters 294,41.87244138,-87.71958599,2
Housing Clusters 295,41.85656724,-87.65074652,2
Housing Clusters 296,41.89120251,-87.70533923,1
Housing Clusters 297,41.88672742,-87.77013329,1
Housing Clusters 298,41.8583373,-87.65903377,1
Housing Clusters 299,41.80402156,-87.61003794,3
Housing Clusters 300,41.8203495,-87.61651411,1
